"nome","telefone","email","endereço"
"Cezar","4699999999","email@email.com","Rua tal de tal"
"Fulano","4699999999","email@email.com","Rua tal de tal"
"Ciclano","4699999999","email@email.com","Rua tal de tal"
"Beltrano","4699999999","email@email.com","Rua tal de tal"
"Cezar 2","4699999999","email@email.com","Rua tal de tal"
"Cezar 3","4699999999","email@email.com","Rua tal de tal"
"Cezar 4","4699999999","email@email.com","Rua tal de tal"
"Cezar 5","4699999999","email@email.com","Rua tal de tal"
"Cezar 6","4699999999","email@email.com","Rua tal de tal"
"Cezar 7","4699999999","email@email.com","Rua tal de tal"
dadasda,adasdsada,asdadasd,adassd
Davi,469999999,davi@gmail.com,Rua tál
outro cara,adasdasda,asdadasda,asdasdada
adkapodkas,adpakdpoakdpoad,p231231k23k,p12k3op1k23po21k
Gustavo,4131231231231,gustavo@gmail.com,Rua do Fraron
